ID,Short citation,Year,Full citation,N. of catchments,Approach,Model,Tracers,Other tracers,Flow type,Main landscape element
185,Nanda and Safeeq,2023,"Nanda, A., Safeeq, M., 2023. Threshold controlling runoff generation mechanisms in Mediterranean headwater catchments. Journal of Hydrology 620, 129532. https://doi.org/10.1016/j.jhydrol.2023.129532",3,E,,,,SS,C
186,Nanda and Safeeq,2024,"Nanda, A., Safeeq, M., 2024. Nonlinear storage–discharge dynamics of forested headwater catchment: A hysteresis index approach. Hydrological Processes 38, e15201. https://doi.org/10.1002/hyp.15201",1,E,,,,SS,C
187,Nichols et al.,2001,"Nichols, D.S., Verry, E.S., 2001. Stream flow and groundwater recharge from small forested watersheds in north central Minnesota. Journal of Hydrology, 245, 1–4, 89-103. https://doi.org/10.1016/S0022-1694(01)00337-7",3,E,,,,S+SS,C
188,Niedda and Pirastru,2014,"Niedda, M., Pirastru, M., 2014. Field investigation and modelling of coupled stream discharge and shallow water?table dynamics in a small Mediterranean catchment (Sardinia). Hydrological Processes 28, 5423–5435. https://doi.org/10.1002/hyp.10016",1,E+M,SSFR,,,S,C
189,Nogutchi et al.,1999,"Noguchi, S., Tsuboyama, Y., Sidle, R.C., Hosoda, I., 1999. Morphological Characteristics of Macropores and the Distribution of Preferential Flow Pathways in a Forested Slope Segment. Soil Science Society of American Journal 63, 1413–1423. https://doi.org/10.2136/sssaj1999.6351413x",1,E,,Others,Dye (dilute white paint solution),SS,H
190,Nogutchi et al.,2001,"Noguchi, S., Tsuboyama, Y., Sidle, R.C., Hosoda, I., 2001. Subsurface runoff characteristics from a forest hillslope soil profile including macropores, Hitachi Ohta, Japan. Hydrological Processes 15, 2131–2149. https://doi.org/10.1002/hyp.278",1,E,,,,SS,H
191,O'Brien and Hendershot,1993,"O’Brien, C., Hendershot, W.H., 1993. Separating streamflow into groundwater, solum and upwelling flow and its implications for hydrochemical modelling. Journal of Hydrology 146, 1–12. https://doi.org/10.1016/0022-1694(93)90266-C",1,E,,Ions,,S,C
192,Oda et al.,2013,"Oda, T., Suzuki, M., Egusa, T. and Uchiyama, Y., 2013. Effect of bedrock flow on catchment rainfall-runoff characteristics and the water balance in forested catchments in Tanzawa Mountains, Japan. Hydrological Processes, 27: 3864-3872. https://doi.org/10.1002/hyp.9497",3,E,,Ions,,S,C
193,Olshansky et al.,2018,"Olshansky, Y., White, A.M., Moravec, B.G., McIntosh, J., Chorover, J., 2018. Subsurface Pore Water Contributions to Stream Concentration-Discharge Relations Across a Snowmelt Hydrograph. Frontiers in Earth Science 6, 181. https://doi.org/10.3389/feart.2018.00181",2,E,,Ions,,S,C
194,Onda et al.,2001,"Onda, Y., Komatsu, Y., Tsujimura, M., Fujihara, J., 2001. The role of subsurface runoff through bedrock on storm flow generation. Hydrological Processes 15, 1693–1706. https://doi.org/10.1002/hyp.234",8,E,,,,S+SS,C
195,Oreiller et al.,2014,"Oreiller, M., Nadeau, D.F., Minville, M., Rousseau, A.N., 2014. Modelling snow water equivalent and spring runoff in a boreal watershed, James Bay, Canada. Hydrological Processes 28, 5991–6005. https://doi.org/10.1002/hyp.10091",1,M,HYDROTEL,,,S,C
196,Orfanus et al.,2017,"Orfánus, T., Jen?o, M., Bebej, J., Benko, M., 2017. Simulation of the effects of forest roads on stormflow generation using GIS and 2D vadose zone hydrological model. Ekológia (Bratislava) 36, 25–39. https://doi.org/10.1515/eko-2017-0003",1,M,HYDRUS 2D,,,S,C
197,Orlowski et al.,2014,"Orlowski, N., Lauer, F., Kraft, P., Frede, H.-G., Breuer, L., 2014. Linking Spatial Patterns of Groundwater Table Dynamics and Streamflow Generation Processes in a Small Developed Catchment. Water 6, 3085–3117. https://doi.org/10.3390/w6103085",1,E,,Iso,,S+SS,C
198,Penna et al.,2015,"Penna, D., Van Meerveld, H.J., Oliviero, O., Zuecco, G., Assendelft, R.S., Dalla Fontana, G., Borga, M., 2015. Seasonal changes in runoff generation in a small forested mountain catchment. Hydrological Processes 29, 2027–2042. https://doi.org/10.1002/hyp.10347",1,E,,Iso+Ions+EC,,S,C
199,Pennino et al.,2024,"Pennino, A., Strahm, B.D., McGuire, K.J., Bower, J.A., Bailey, S.W., Schreiber, M.E., Ross, D.S., Duston, S.A., Benton, J.R., 2024. Forest catchment structure mediates shallow subsurface flow and soil base cation fluxes. Geoderma 450, 117045. https://doi.org/10.1016/j.geoderma.2024.117045",1,E,,,,SS,C
200,Peters et al.,1995,"Peters, D.L., Buttle, J.M., Taylor, C.H., LaZerte, B. D., 1995. Runoff Production in a Forested, Shallow Soil, Canadian Shield Basin. Water Resources Research, 31(5), 1291–1304, doi:10.1029/94WR03286.",1,E,,Iso+Ions,DOC,S,H+C
201,Peters et al.,2003,"Peters, N.E., Freer, J., Beven, K., 2003. Modelling hydrologic responses in a small forested catchment (Panola Mountain, Georgia, USA): a comparison of the original and a new dynamic TOPMODEL. Hydrological Processes 17, 345–362. https://doi.org/10.1002/hyp.1128",1,M,TOPMODEL (modified),,,S,C
202,Post and Jones,2001,"Post, D.A., Jones, J.A., 2001. Hydrologic regimes of forested, mountainous, headwater basins in New Hampshire, North Carolina, Oregon, and Puerto Rico. Advances in Water Resources 24, 1195–1210. https://doi.org/10.1016/S0309-1708(01)00036-7",18,E,,,,S,C
203,Qazi,2020,"Qazi, N., 2020. Hydrological functioning of forested catchments, Central Himalayan Region, India. For. Ecosyst. 7, 63. https://doi.org/10.1186/s40663-020-00275-8",2,E,,,,S,C
204,Qu et al.,2013,"Qu, S., Liu, H., Cui, Y., Shi, P., Yu, Z., 2013. Test of newly developed conceptual hydrological model for simulation of rain-on-snow events in forested watershed 6. Water Science and Engineering, 6, 1, 31-43.https://doi.org/10.3882/j.issn.1674-2370.2013.01.003",2,M,XINSNOBAL,,,S,C
205,Rice and Hornberger,1998,"Rice, K.C., Hornberger, G.M., 1998. Comparison of hydrochemical tracers to estimate source contributions to peak flow in a small, forested, headwater catchment. Water Resources Research 34, 1755–1766. https://doi.org/10.1029/98WR00917",1,E,,Iso+Ions,,S,C
206,Rivera-Ramirez et al.,2002,"Rivera-Ramirez, H.D., Warner, G.S., Scatena, F.N., 2002. Prediction of master recession curves and baseflow recessions in the Luquillo Mountains of Puerto Rico. JAWRA Journal of the American Water Resources Association, 38: 693-704. https://doi.org/10.1111/j.1752-1688.2002.tb00990.x",2,E+M,statistical method ,,,S,C
207,Rodhe and Seibert,2011,"Rodhe, A., Seibert, J., 2011. Groundwater dynamics in a till hillslope: flow directions, gradients and delay. Hydrological Processes 25, 1899–1909. https://doi.org/10.1002/hyp.7946",1,E,,,,SS,H
208,Romano et al.,2001,"Romano, M.C., Thiel, M., Schwarz, U., Kurths, J., Lange, H., Hauhs, M., 2001. Conceptual model of runoff from a forested catchment. International Journal of Bifurcation Chaos 11, 2567–2578. https://doi.org/10.1142/S0218127401003619",1,M,Conceptual model with transfer function,,,S,C
209,Rose,1996,"Rose, S., 1996. Temporal environmental isotopic variation within the Falling Creek (Georgia) watershed: implications for contributions to streamflow. Journal of Hydrology 174, 243–261. https://doi.org/10.1016/0022-1694(95)02767-X",1,E,,Iso,,S+SS,C
210,Ross et al.,1994,"Ross, D.S., Bartlett, R.J., Magdoff, F.R., Walsh, G.J., 1994. Flow path studies in forested watersheds of headwater tributaries of Brush Brook, Vermont. Water Resources Research 30, 2611–2618. https://doi.org/10.1029/94WR01490",2,E,,Ions,,S+SS,C
211,Rusjan and Mikoš,2015,"Rusjan, S., Mikoš, M., 2015. A catchment as a simple dynamical system: Characterization by the streamflow component approach. Journal of Hydrology 527, 794–808. https://doi.org/10.1016/j.jhydrol.2015.05.050",1,E+M,subsurface and bypassing flow sensitivity functions,Ions+EC,,S,C
212,Safeeq and Hunsaker,2016,"Safeeq, M., Hunsaker, C.T., 2016. Characterizing Runoff and Water Yield for Headwater Catchments in the Southern Sierra Nevada. Journal of American Water Resources Association 52, 1327–1346. https://doi.org/10.1111/1752-1688.12457",10,E,,,,S,C
213,Saito et al.,2023,"Saito, M., Tsujimura, M., Nurhidayu Abu Bakar, S., 2023. Rainfall-runoff characteristics in a tropical forested catchment, Puchong, Selangor, Malaysia. Hydrological Research Letters 17, 28–35. https://doi.org/10.3178/hrl.17.28",1,E,,Iso+Ions,,S+SS,C
214,Sandström,1996,"Sandström, K., 1996. Hydrochemical deciphering of streamflow generation in semi-arid East Africa. Hydrological Processes, 10: 703-720. https://doi.org/10.1002/(SICI)1099-1085(199605)10:5<703::AID-HYP313>3.0.CO;2-#",1,E,,Ions,,S,C
215,Sanford et al.,2007,"Sanford, S.E., Creed, I.F., Tague, C.L., Beall, F.D., Buttle, J.M., 2007. Scale-dependence of natural variability of flow regimes in a forested landscape, Water Resour. Res., 43, W08414, doi:10.1029/2006WR005299.",1,M,RHESSys,,,S,C
216,Scaife et al.,2020,"Scaife, C.I., Singh, N.K., Emanuel, R.E., Miniat, C.F., Band, L.E., 2020. Non?linear quickflow response as indicators of runoff generation mechanisms. Hydrological Processes 34, 2949–2964. https://doi.org/10.1002/hyp.13780",3,E,,,,S,C
217,Scaini et al.,2018,"Scaini, A., Hissler, C., Fenicia, F., Juilleret, J., Iffly, J.F., Pfister, L., Beven, K., 2018. Hillslope response to sprinkling and natural rainfall using velocity and celerity estimates in a slate-bedrock catchment. Journal of Hydrology 558, 366–379. https://doi.org/10.1016/j.jhydrol.2017.12.011",1,E,,Ions+EC,,S+SS,H
218,Scanlon et al.,2000,"Scanlon, T.M., Raffensperger, J.P., Hornberger, G.M., Clapp, R.B., 2000. Shallow subsurface storm flow in a forested headwater catchment: Observations and modeling using a modified TOPMODEL. Water Resources Research 36, 2575–2586. https://doi.org/10.1029/2000WR900125",1,M,TOPMODEL (modified),,,S+SS,C
219,Scholl et al.,2015,"Scholl, M.A., Shanley, J.B., Murphy, S.F., Willenbring, J.K., Occhi, M., González, G., 2015. Stable-isotope and solute-chemistry approaches to flow characterization in a forested tropical watershed, Luquillo Mountains, Puerto Rico. Applied Geochemistry 63, 484–497. https://doi.org/10.1016/j.apgeochem.2015.03.008",1,E,,Iso+Ions,,S,C
220,Segura et al.,2012,"Segura, C., James, A.L., Lazzati, D., Roulet, N.T., 2012. Scaling relationships for event water contributions and transit times in small?forested catchments in Eastern Quebec. Water Resources Research 48, 2012WR011890. https://doi.org/10.1029/2012WR011890",8,E+M,unit hydrograph and IHS,Iso,,S,C
221,Segura et al.,2023,"Segura, C., Penna, D., Borga, M., Hissler, C., Iffly, J.F., Klaus, J., Latron, J., Llorens, P., Marchina, C., Martínez-Carreras, N., Pfister, L., Zuecco, G., 2023. Comparing hydrological responses across catchments using a new soil water content metric. Hydrological Processes 37, e15010. https://doi.org/10.1002/hyp.15010",3,E,,,,SS,H+C
222,Serrano-Muela et al.,2008,"Serrano-Muela, M.P., Lana-Renault, N., Nadal-Romero, E., Regüés, D., Latron, J., Martí-Bono, C., García-Ruiz, J.M., 2008. Forests and Their Hydrological Effects in Mediterranean Mountains: The Case of the Central Spanish Pyrenees. Mountain Research and Development 28, 279–285. https://doi.org/10.1659/mrd.0876",1,E,,,,S+SS,C
223,Shanley and Chalmers,1999,"Shanley, J.B., Chalmers, A., 1999. The effect of frozen soil on snowmelt runoff at Sleepers River, Vermont. Hydrological Processes, 13: 1843-1857. https://doi.org/10.1002/(SICI)1099-1085(199909)13:12/13<1843::AID-HYP879>3.0.CO;2-G",2,E,,,,S,C
224,Shaw,2016,"Shaw, S.B., 2016. Investigating the linkage between streamflow recession rates and channel network contraction in a mesoscale catchment in New York state. Hydrological Processes 30, 479–492. https://doi.org/10.1002/hyp.10626",1,E+M,three-parallel linear reservoir model,,,S,C
225,Sidle et al.,2001,"Sidle, R.C., Noguchi, S., Tsuboyama, Y., Laursen, K., 2001. A conceptual model of preferential flow systems in forested hillslopes: evidence of self?organization. Hydrological Processes 15, 1675–1692. https://doi.org/10.1002/hyp.233",1,E,,,,SS,H
226,Sidle et al.,2000,"Sidle, R.C., Tsuboyama, Y., Noguchi, S., Hosoda, I., Fujieda, M., Shimizu, T., 2000. Stormflow generation in steep forested headwaters: a linked hydrogeomorphic paradigm. Hydrological Processes 14, 369–385. https://doi.org/10.1002/(SICI)1099-1085(20000228)14:3<369::AID-HYP943>3.0.CO;2-P",3,E,,,,S+SS,H+C
227,Sidle et al.,1995,"Sidle, R.C., Tsuboyama, Y., Noguchi, S., Hosoda, I., Fujieda, M., Shimizu, T., 1995. Seasonal hydrologic response at various spatial scales in a small forested catchment, Hitachi Ohta, Japan. Journal of Hydrology 168, 227–250. https://doi.org/10.1016/0022-1694(94)02639-S",4,E,,,,S+SS,H+C
228,Singh et al.,2021,"Singh, N.K., Emanuel, R.E., McGlynn, B.L., Miniat, C.F., 2021. Soil Moisture Responses to Rainfall: Implications for Runoff Generation. Water Resources Research 57, e2020WR028827. https://doi.org/10.1029/2020WR028827",1,E+M,Multivariate Adaptive Regression Splines,,,SS,H
229,Singh et al.,2018,"Singh, N.K., Emanuel, R.E., Nippgen, F., McGlynn, B.L., Miniat, C.F., 2018. The Relative Influence of Storm and Landscape Characteristics on Shallow Groundwater Responses in Forested Headwater Catchments. Water Resources Research 54, 9883–9900. https://doi.org/10.1029/2018WR022681",4,E,,,,SS,C
230,Singh et al.,2014,"Singh, R., Archfield, S.A., Wagener, T., 2014. Identifying dominant controls on hydrologic parameter transfer from gauged to ungauged catchments – A comparative hydrology approach. Journal of Hydrology 517, 985–996. https://doi.org/10.1016/j.jhydrol.2014.06.030",83,M,Lumped conceptual model,,,S,C
231,Šípek and Tesa?,2016,"Šípek, V., Tesa?, M., 2016. Validation of a mesoscale hydrological model in a small-scale forested catchment. Hydrology Research 47, 27–41. https://doi.org/10.2166/nh.2015.220",1,M,model with 8 adjustable parameters,,,S+SS,C
232,Smith et al.,2010,"Smith, J.A., Baeck, M.L., Villarini, G., Krajewski, W.F., 2010. The Hydrology and Hydrometeorology of Flooding in the Delaware River Basin. Journal of Hydrometeorology 11, 841–859. https://doi.org/10.1175/2010JHM1236.1",18,E,,,,S,C
233,Sørbotten et al.,2017,"Sørbotten, L.-E., Stolte, J., Wang, Y., Mulder, J., 2017. Hydrological Responses and Flow Pathways in an Acrisol on a Forested Hillslope with a Monsoonal Subtropical Climate. Pedosphere 27, 1037–1048. https://doi.org/10.1016/S1002-0160(17)60447-8",1,E,,Others,Dye (brilliant blue),SS,H
234,Sthapit et al.,2022,"Sthapit, E., Lakhankar, T., Hughes, M., Khanbilvardi, R., Cifelli, R., Mahoney, K., Currier, W.R., Viterbo, F., Rafieeinasab, A., 2022. Evaluation of Snow and Streamflows Using Noah-MP and WRF-Hydro Models in Aroostook River Basin, Maine. Water 14, 2145. https://doi.org/10.3390/w14142145",4,M,Noah-MP and WRF-Hydro,,,S,C
235,Su et al.,2003,"Su, B., Kazama, S., Lu, M., Sawamoto, M., 2003. Development of a distributed hydrological model and its application to soil erosion simulation in a forested catchment during storm period. Hydrological Processes 17, 2811–2823. https://doi.org/10.1002/hyp.1435",1,M,DXAJ R-R model,,,S,C
236,Subehi et al.,2010,"Subehi, L., Fukushima, T., Onda, Y., Mizugaki, S., Gomi, T., Kosugi, K., Hiramatsu, S., Kitahara, H., Kuraji, K., Terajima, T., 2010. Analysis of stream water temperature changes during rainfall events in forested watersheds. Limnology 11, 115–124. https://doi.org/10.1007/s10201-009-0296-2",16,E,,Temp,,S,C
237,Szilàgyi et al.,2008,"Szilágyi, J., Gribovszki, Z., Kalicz, P., Kucsara, M., 2008. On diurnal riparian zone groundwater-level and streamflow fluctuations. Journal of Hydrology 349, 1–5. https://doi.org/10.1016/j.jhydrol.2007.09.014",1,M,"adaptive, finite element 2D",,,SS,C
238,Tague and Band,2001,"Tague, C.L., Band, L.E., 2001. Evaluating explicit and implicit routing for watershed hydro-ecological models of forest hydrology at the small catchment scale. Hydrological Processes, 15: 1415-1439. https://doi.org/10.1002/hyp.171",1,M,TOPMODEL + RHESSys,,,S,C
239,Tanaka,1996,"Tanaka, T., 1996. Recent Progress in Japanese Studies on Storm Runoff Processes. Geographical review of Japan series B, 69, 144–159. https://doi.org/10.4157/grj1984b.69.144",1,E,,,,S+SS,H+C
240,Tang et al.,2014,"Tang, G., Hwang, T., Pradhanang, S.M., 2014. Does consideration of water routing affect simulated water and carbon dynamics in terrestrial ecosystems? Hydrology and Earth System Sciences 18, 1423–1437. https://doi.org/10.5194/hess-18-1423-2014",1,M,RHESSys,,,S,C
241,Tang et al.,2020,"Tang, Q., Duncan, J.M., Guo, L., Lin, H., Xiao, D., Eissenstat, D.M., 2020. On the controls of preferential flow in soils of different hillslope position and lithological origin. Hydrological Processes 34, 4295–4306. https://doi.org/10.1002/hyp.13883",1,E,,,,SS,H
242,Tani,1997,"Tani, M., 1997. Runoff generation processes estimated from hydrological observations on a steep forested hillslope with a thin soil layer. Journal of Hydrology 200, 84–109. https://doi.org/10.1016/S0022-1694(97)00018-8",2,E+M,Kinematic wave runoff model,,,S+SS,H+C
243,Tedela et al.,2012,"Tedela, N.H., McCutcheon, S.C., Campbell, J.L., Swank, W.T., Adams, M.B., Rasmussen, T.C., 2012. Curve Numbers for Nine Mountainous Eastern United States Watersheds: Seasonal Variation and Forest Cutting. Journal of Hydrology Eng. 17, 1199–1203. https://doi.org/10.1061/(ASCE)HE.1943-5584.0000437",9,M,SCS-CN,,,S,C
244,Tesemma et al.,2015,"Tesemma, Z.K., Wei, Y., Peel, M.C., Western, A.W., 2015. The effect of year-to-year variability of leaf area index on Variable Infiltration Capacity model performance and simulation of runoff. Advances in Water Resources 83, 310–322. https://doi.org/10.1016/j.advwatres.2015.07.002",14,M,Variable Infiltration Capacity,,,S,C
245,Tiefan et al.,2005,"Tiefan, P., Jianmei, L., Jinzhong, L., Anzhi, W., 2005. A modified subsurface stormflow model of hillsides in forest catchment. Hydrological Processes 19, 2609–2624. https://doi.org/10.1002/hyp.5734",1,M,SS flow model,,,SS,H
246,Tudose et al.,2021,"Tudose, N.C., Marin, M., Cheval, S., Ungurean, C., Davidescu, S.O., Tudose, O.N., Mihalache, A.L., Davidescu, A.A., 2021. SWAT Model Adaptability to a Small Mountainous Forested Watershed in Central Romania. Forests 12, 860. https://doi.org/10.3390/f12070860",1,M,SWAT,,,S,C
247,Tuset et al.,2020,"Tuset, J., Vericat, D., Batalla, R.J., 2020. Water and sediment budgets unveiling contrasting hydro-sedimentary patterns in a mountainous Mediterranean catchment. Science of the Total Environment 745, 140884. https://doi.org/10.1016/j.scitotenv.2020.140884",5,E,,,,S,C
248,Uchida et al.,1999,"Uchida, T., Kosugi, K., Mizuyama, T., 1999. Runoff characteristics of pipeflow and effects of pipeflow on rainfall-runoff phenomena in a mountainous watershed. Journal of Hydrology 222, 18–36. https://doi.org/10.1016/S0022-1694(99)00090-6",1,E,,,,S+SS,C
249,Uchida et al.,2005,"Uchida, T., Tromp-van Meerveld, I., McDonnell, J.J., 2005. The role of lateral pipe flow in hillslope runoff response: an intercomparison of non-linear hillslope response. Journal of Hydrology 311, 117–133. https://doi.org/10.1016/j.jhydrol.2005.01.012",4,E,,,,SS,H
250,Vichta et al.,2024,"Vichta, T., Deutscher, J., Hemr, O., Tomášová, G., Žižlavská, N., Brychtová, M., Bajer, A., Shukla, M.K., 2024. Combined effects of rainfall-runoff events and antecedent soil moisture on runoff generation processes in an upland forested headwater area. Hydrological Processes 38, e15216. https://doi.org/10.1002/hyp.15216",1,E,,,,S+SS,C
251,Voltz et al.,2013,"Voltz, T., Gooseff, M., Ward, A.S., Singha, K., Fitzgerald, M., Wagener, T., 2013. Riparian hydraulic gradient and stream?groundwater exchange dynamics in steep headwater valleys. Journal of Geophysical Research: Earth Surface 118, 953–969. https://doi.org/10.1002/jgrf.20074",2,E,,,,SS,C
252,Votrubova et al.,2017,"Votrubova, J., Dohnal, M., Vogel, T., Sanda, M., Tesar, M., 2017. Episodic runoff generation at Central European headwater catchments studied using water isotope concentration signals. Journal of Hydrology and Hydromechanics 65, 114–122. https://doi.org/10.1515/johh-2017-0002",2,E,,Iso,,S,C
253,Vystavna et al.,2021,"Vystavna, Y., Paule-Mercado, M., Juras, R., Schmidt, S.I., Kopá?ek, J., Hejzlar, J., Huneau, F., 2021. Effect of snowmelt on the dynamics, isotopic and chemical composition of runoff in mature and regenerated forested catchments. Journal of Hydrology 598, 126437. https://doi.org/10.1016/j.jhydrol.2021.126437",2,E,,Iso+Ions,,S,C
254,Walega et al.,2020,"Walega, A., Amatya, D.M., Caldwell, P., Marion, D., Panda, S., 2020. Assessment of storm direct runoff and peak flow rates using improved SCS-CN models for selected forested watersheds in the Southeastern United States. Journal of Hydrology: Regional Studies 27, 100645. https://doi.org/10.1016/j.ejrh.2019.100645",3,M,SCS-CN (improved),,,S,C
255,Wei et al.,2020,"Wei, L., Qiu, Z., Zhou, G., Kinouchi, T., Liu, Y., 2020. Stormflow threshold behaviour in a subtropical mountainous headwater catchment during forest recovery period. Hydrological Processes 34, 1728–1740. https://doi.org/10.1002/hyp.13658",1,E,,,,S,C
256,Wemple et al.,2007,"Wemple, B., Shanley, J., Denner, J., Ross, D., Mills, K., 2007. Hydrology and water quality in two mountain basins of the northeastern US: assessing baseline conditions and effects of ski area development. Hydrological Processes 21, 1639–1650. https://doi.org/10.1002/hyp.6700",2,E,,,,S,C
257,Wemple and Jones,2003,"Wemple, B.C., Jones, J.A., 2003. Runoff production on forest roads in a steep, mountain catchment. Water Resources Research 39, 2002WR001744. https://doi.org/10.1029/2002WR001744",1,E,,,,S,C
258,Whitaker et al.,2008,"Whitaker, A.C., Sugiyama, H., Hayakawa, K., 2008. Effect of Snow Cover Conditions on the Hydrologic Regime: Case Study in a Pluvial?Nival Watershed, Japan. Journal of the American Water Resources Association 44, 814–828. https://doi.org/10.1111/j.1752-1688.2008.00206.x",1,E,,,,S,C
259,Wiekenkamp et al.,2016,"Wiekenkamp, I., Huisman, J.A., Bogena, H.R., Lin, H.S., Vereecken, H., 2016. Spatial and temporal occurrence of preferential flow in a forested headwater catchment. Journal of Hydrology 534, 139–149. https://doi.org/10.1016/j.jhydrol.2015.12.050",1,E,,,,SS,C
260,Wienhoefer et al.,2009,"Wienhofer, J., Germer, K., Lindenmaier, F., Farber, A., Zehe, E., 2009. Applied tracers for the observation of subsurface storm?ow at the hillslope scale. Hydrology and Earth System Sciences",1,E,,,,SS,H
261,Williamson et al.,2015,"Williamson, T.N., Agouridis, C.T., Barton, C.D., Villines, J.A., Lant, J.G., 2015. Classification of Ephemeral, Intermittent, and Perennial Stream Reaches Using a TOPMODEL ?Based Approach. Journal of American Water Resources Association 51, 1739–1759. https://doi.org/10.1111/1752-1688.12352",2,M,TOPMODEL,,,S,C
262,Woelber et al.,2018,"Woelber, B., Maneta, M.P., Harper, J., Jencso, K.G., Gardner, W.P., Wilcox, A.C., López-Moreno, I., 2018. The influence of diurnal snowmelt and transpiration on hillslope throughflow and stream response. Hydrology and Earth System Sciences 22, 4295–4310. https://doi.org/10.5194/hess-22-4295-2018",1,E,,,,S+SS,H+C
263,Woolridge et al.,2020,"Woolridge, D.D., Niemann, J.D., Perry, M.A., Bauer, K.E., McCormick, W.T., 2020. Identifying Runoff Production Mechanisms for Dam Safety Applications in the Colorado Front Range. Journal of Hydrology Eng. 25, 05020016. https://doi.org/10.1061/(ASCE)HE.1943-5584.0001958",5,M,HEC-HMS + SMA + MuskCunge,,,S,C
264,Yang et al.,2018,"Yang, Q., Zhang, X., Almendinger, J.E., Huang, M., Leng, G., Zhou, Y., Zhao, K., Asrar, G.R., Li, X., Qiu, J., 2019. Improving the SWAT forest module for enhancing water resource projections: A case study in the St. Croix River basin. Hydrological Processes 33, 864–875. https://doi.org/10.1002/hyp.13370",1,M,SWAT (improved),,,S,C
265,Zabaleta et al.,2013,"Zabaleta, A., Antigüedad, I., 2013. Streamflow response of a small forested catchment on different timescales. Hydrology and Earth System Sciences 17, 211–223. https://doi.org/10.5194/hess-17-211-2013",1,E,,,,S,C
266,Zehe et al.,2010,"Zehe, E., Graeff, T., Morgner, M., Bauer, A., Bronstert, A., 2010. Plot and field scale soil moisture dynamics and subsurface wetness control on runoff generation in a headwater in the Ore Mountains. Hydrology and Earth System Sciences 14, 873–889. https://doi.org/10.5194/hess-14-873-2010",1,M,CATFLOW,,,SS,H
267,Zema et al.,2018,"Zema, D.A., Lucas-Borja, M.E., Carrà, B.G., Denisi, P., Rodrigues, V.A., Ranzini, M., Arcova, F.C.S., De Cicco, V., Zimbone, S.M., 2018. Simulating the hydrological response of a small tropical forest watershed (Mata Atlantica, Brazil) by the AnnAGNPS model. Science of the Total Environment 636, 737–750. https://doi.org/10.1016/j.scitotenv.2018.04.339",1,M,ANNAGNPS ,,,S,C
