ID,Short citation,Year,Full citation,N. of catchments,Approach,Model,Tracers,Other tracers,Flow type,Main landscape element
62,Du et al.,2014,"Du, E., Rhett Jackson, C., Klaus, J., McDonnell, J.J., Griffiths, N.A., Williamson, M.F., Greco, J.L., Bitew, M., 2016. Interflow dynamics on a low relief forested hillslope: Lots of fill, little spill. Journal of Hydrology 534, 648–658. https://doi.org/10.1016/j.jhydrol.2016.01.039",1,M,DHSVM,,,S,C
63,Du et al.,2007,"Du, J., Xie, S., Xu, Y., Xu, C., Singh, V.P., 2007. Development and testing of a simple physically-based distributed rainfall-runoff model for storm runoff simulation in humid forested basins. Journal of Hydrology 336, 334–346. https://doi.org/10.1016/j.jhydrol.2007.01.015",1,M,Physically-based distributed rainfall-runoff model,,,S+SS,C
64,Durand et al.,1993,"Durand, P., Neal, M., Neal, C., 1993. Variations in stable oxygen isotope and solute concentrations in small submediterranean montane streams. Journal of Hydrology 144, 283–290. https://doi.org/10.1016/0022-1694(93)90176-A",2,E,,Iso+Ions,,S,C
65,Dusek and Vogel,2016,"Dusek, J., Vogel, T., 2016. Hillslope-storage and rainfall-amount thresholds as controls of preferential stormflow. Journal of Hydrology 534, 590–605. https://doi.org/10.1016/j.jhydrol.2016.01.047",1,M,two-dimensional dual-continuum model,,,SS,H
66,Dvo?áková et al.,2012,"Dvo?áková, S., Ková?, P., Zeman, J., 2012. Implementation of conceptual linear storage model of runoff with diurnal fluctuation in rainless periods. Journal of Hydrology and Hydromechanics, 60, 4. https://doi.org/10.2478/v10098-012-0019-y",1,M,linear storage model ,,,S,C
67,Egusa et al.,2016,"Egusa, T., Ohte, N., Oda, T., Suzuki, M., 2016. Quantifying aggregation and change in runoff source in accordance with catchment area increase in a forested headwater catchment. Hydrological Processes 30, 4125–4138. https://doi.org/10.1002/hyp.10916",1,E,,Ions+EC,,SS,C
68,Elsembeer and Vertessy,2000,"Elsenbeer, H., Vertessy, R.A., 2000. Stormflow generation and flowpath characteristics in an Amazonian rainforest catchment. Hydrological Processes 14, 2367–2381. https://doi.org/10.1002/1099-1085(20001015)14:14<2367::AID-HYP107>3.0.CO;2-H",1,E,,,,S,C
69,Emanuel et al.,2014,"Emanuel, R.E., Hazen, A.G., McGlynn, B.L., Jencso, K.G., 2014. Vegetation and topographic influences on the connectivity of shallow groundwater between hillslopes and streams. Ecohydrology 7, 887–895. https://doi.org/10.1002/eco.1409",1,E,,,,SS,C
70,Epps et al.,2013,"Epps, T.H., Hitchcock, D.R., Jayakaran, A.D., Loflin, D.R., Williams, T.M., Amatya, D.M., 2013. Curve Number Derivation for Watersheds Draining Two Headwater Streams in Lower Coastal Plain South Carolina, USA. Journal of American Water Resources Association 49, 1284–1295. https://doi.org/10.1111/jawr.12084",2,M,SCS-CN,,,S,C
71,Fadhliani et al.,2021,"Fadhliani, Zulkafli, Z., Yusuf, B., Nurhidayu, S., 2021. Assessment of Streamflow Simulation for a Tropical Forested Catchment Using Dynamic TOPMODEL—Dynamic fluxEs and ConnectIvity for Predictions of HydRology (DECIPHeR) Framework and Generalized Likelihood Uncertainty Estimation (GLUE). Water 13, 317. https://doi.org/10.3390/w13030317",1,M,DECIPHeR1 (TOPMODEL),,,S,C
72,Farrick et al.,2014,"Farrick, K.K., Branfireun, B.A., 2014. Soil water storage, rainfall and runoff relationships in a tropical dry forest catchment. Water Resources Research 50, 9236–9250. https://doi.org/10.1002/2014WR016045",1,E,,,,S,C
73,Farrick et al.,2015,"Farrick, K.K., Branfireun, B.A., 2015. Flowpaths, source water contributions and water residence times in a Mexican tropical dry forest catchment. Journal of Hydrology 529, 854–865. https://doi.org/10.1016/j.jhydrol.2015.08.059",1,E,,,,S+SS,C
74,Flores et al.,2021,"Flores, N., Rodríguez, R., Yépez, S., Osores, V., Rau, P., Rivera, D., Balocchi, F., 2021. Comparison of Three Daily Rainfall-Runoff Hydrological Models Using Four Evapotranspiration Models in Four Small Forested Watersheds with Different Land Cover in South-Central Chile. Water 13, 3191. https://doi.org/10.3390/w13223191",4,M,"GR4J, GR5J, GR6J",,,S,C
75,Frene et al.,2021,"Frêne, C., Armesto, J.J., Véliz, F., Alfaro, F.D., Weathers, K.C., 2021. High?frequency monitoring of hydrological and biogeochemical fluxes in forested catchments of southern Chile. Hydrological Processes 35, e14175. https://doi.org/10.1002/hyp.14175",1,E,,,,S,C
76,Fu et al.,2014,"Fu, C., James, A.L., Yao, H., 2014. SWAT-CS: Revision and testing of SWAT for Canadian Shield catchments. Journal of Hydrology 511, 719–735. https://doi.org/10.1016/j.jhydrol.2014.02.023",7,M,SWAT-CS,,,S,C
77,Fujieda et al.,1997,"Fujieda, M., Kudoh, T., De Cicco, V., De Calvarcho, J.L., 1997. Hydrological processes at two subtropical forest catchments: the Serra do Mar, São Paulo, Brazil. Journal of Hydrology 196, 26–46. https://doi.org/10.1016/S0022-1694(97)00015-2",2,E,,,,S+SS,H+C
78,Fujino et al.,2023,"Fujino, M., Sakakibara, K., Tsujimura, M., Suzuki, K., 2023. Influence of alpine vegetation on water storage and discharge functions in an alpine headwater of Northern Japan Alps. Journal of Hydrology X 18, 100146. https://doi.org/10.1016/j.hydroa.2022.100146",5,E,,Ions,,S+SS,C
79,Fujita et al.,2006,"Fujita, M., Haga, H., Nishida, K., Sakamoto, Y., 2006. Evaluation of hydrological processes in a mountainous small basin using a quinone biomarker. Water Science and Technology 53, 93–99. https://doi.org/10.2166/wst.2006.042",1,E,,Others,Quinone biomarker,SS,H
80,Fuss et al.,2016,"Fuss, C.B., Driscoll, C.T., Green, M.B., Groffman, P.M., 2016. Hydrologic flowpaths during snowmelt in forested headwater catchments under differing winter climatic and soil frost regimes. Hydrological Processes 30, 4617–4632. https://doi.org/10.1002/hyp.10956",3,E,,Ions,,S,C
81,Gallart et al.,1997,"Gallart, F., Latron, J., Llorens, P., Rabadà, D., 1997. Hydrological functioning of mediterranean mountain basins in Vallcebre, Catalonia: Some challenges for hydrological modelling. Hydrological Processes 11, 1263–1272. https://doi.org/10.1002/(SICI)1099-1085(199707)11:9<1263::AID-HYP556>3.0.CO;2-W",3,E,,,,S+SS,C
82,Garvelmann et al.,2015,"Garvelmann, J., Pohl, S., Weiler, M., 2015. Spatio?temporal controls of snowmelt and runoff generation during rain?on?snow events in a mid?latitude mountain catchment. Hydrological Processes 29, 3649–3664. https://doi.org/10.1002/hyp.10460",1,E,,,,S,C
83,Gautam et al.,2000,"Gautam, M.R., Watanabe, K., Saegusa, H., 2000. Runoff analysis in humid forest catchment with artificial neural network. Journal of Hydrology 235, 117–136. https://doi.org/10.1016/S0022-1694(00)00268-7",4,E+M,,,,S+SS,H+C
84,Gelmini et al.,2022,"Gelmini, Y., Zuecco, G., Zaramella, M., Penna, D., Borga, M., 2022. Hysteresis in streamflow-water table relation provides a new classification system of rainfall-runoff events. Hydrological Processes, 36(9), e14685. https://doi.org/10.1002/hyp.14685",1,E,,Iso+EC,,S+SS,C
85,Genereux et al.,1993,"Genereux, D.P., Hemond, H.F., Mulholland, P.J., 1993. Spatial and temporal variability in streamflow generation on the West Fork of Walker Branch Watershed. Journal of Hydrology 142, 137–166. https://doi.org/10.1016/0022-1694(93)90009-X",1,E,,Ions,,S+SS,C
86,George and Sekhar,2022,"George, P.M., Sekhar, M., 2022. Base flow simulation using a physically based subsurface model – The case of a tropical basin in the Western Ghats, India. Journal of Hydrology 613, 128451. https://doi.org/10.1016/j.jhydrol.2022.128451",2,M,Digital filters,,,S,C
87,Gerke et al.,2015,"Gerke, K.M., Sidle, R.C., Mallants, D., 2015. Preferential flow mechanisms identified from staining experiments in forested hillslopes. Hydrological Processes 29, 4562–4578. https://doi.org/10.1002/hyp.10468",2,E,,,,SS,H
88,Gianfagna et al.,2015,"Gianfagna, C.C., Johnson, C.E., Chandler, D.G., Hofmann, C., 2015. Watershed area ratio accurately predicts daily streamflow in nested catchments in the Catskills, New York. Journal of Hydrology: Regional Studies 4, 583–594. https://doi.org/10.1016/j.ejrh.2015.09.002",15,M,Statistical model,,,S,C
89,Glaser et al.,2018,"Glaser, B., Antonelli, M., Chini, M., Pfister, L., Klaus, J., 2018. Technical note: Mapping surface-saturation dynamics with thermal infrared imagery. Hydrology and Earth System Sciences 22, 5987–6003. https://doi.org/10.5194/hess-22-5987-2018",1,E,,,,S,C
90,Glaser et al.,2020,"Glaser, B., Antonelli, M., Hopp, L., Klaus, J., 2020. Intra-catchment variability of surface saturation – insights from physically based simulations in comparison with biweekly thermal infrared image observations. Hydrology and Earth System Sciences 24, 1393–1413. https://doi.org/10.5194/hess-24-1393-2020",1,E+M,HydroGeoSphere,,,S,C
